timestamp,A,X,Y,timestamp2,esito_positivo,esito_negativo
1465596017,2013,1935,2014,1465596685,2,0
1467735949,1820,1766,1773,1467737151,2,0
1467735949,1820,1766,1773,1467737152,2,0
1467735949,1820,1766,1773,1467737440,4,0
1467735951,1820,1766,1773,1467737151,4,0
1467735951,1820,1766,1773,1467737152,4,0
1467735951,1820,1766,1773,1467737440,8,0
1469191083,2011,1935,2038,1469191542,2,0
1469191084,2011,1935,2038,1469191542,2,0
1470358379,1932,1931,1931,1470359327,2,0
1470358379,1932,1931,1931,1470359328,2,0
1470516427,2087,1766,1773,1470516519,2,0
1470516427,2087,1766,1773,1470516520,2,0
1470751082,44801,1931,1838,1470751088,2,0
1470751082,44801,1931,1838,1470751090,2,0
1470809410,27,1935,1931,1470810357,2,0
1470832105,44800,1931,1831,1470833729,2,0
1470832965,44800,1931,1831,1470833729,2,0
1470833264,44800,1931,1831,1470833729,2,0
1470841768,44808,1931,1831,1470842458,2,0
1470841768,44808,1931,1831,1470842486,2,0
1470843789,44818,1931,1831,1470844424,4,0
1470886243,44808,1931,1791,1470886295,4,0
1471095077,1776,1766,1807,1471096647,8,0
1471120303,1936,1931,1807,1471121554,2,0
1471120303,1936,1931,1807,1471121555,2,0
1471120304,1936,1931,1807,1471121554,2,0
1471120304,1936,1931,1807,1471121555,2,0
1471178717,44831,1931,1842,1471179100,2,0
1471178717,44831,1931,1842,1471179106,2,0
1471440153,1933,1931,1791,1471441323,2,0
1471440153,1933,1931,1791,1471441327,2,0
1471440157,1933,1931,1791,1471441323,2,0
1471440157,1933,1931,1791,1471441327,2,0
1471440564,1933,1931,1791,1471441323,2,0
1471440564,1933,1931,1791,1471441327,2,0
1471440568,1933,1931,1791,1471441323,2,0
1471440568,1933,1931,1791,1471441327,2,0
1471440574,1933,1931,1791,1471441323,2,0
1471440574,1933,1931,1791,1471441327,2,0
1471440577,1933,1931,1791,1471441323,2,0
1471440577,1933,1931,1791,1471441327,2,0
1471448810,44831,1931,1791,1471450388,2,0
1471448810,44831,1931,1791,1471450389,2,0
1471448810,44831,1931,1791,1471450473,4,0
1471448810,44831,1931,1791,1471450597,2,0
1471448810,44831,1931,1791,1471450598,2,0
1471448811,44831,1931,1791,1471450388,2,0
1471448811,44831,1931,1791,1471450389,2,0
1471448811,44831,1931,1791,1471450473,4,0
1471448811,44831,1931,1791,1471450597,2,0
1471448811,44831,1931,1791,1471450598,2,0
1471448812,44831,1931,1791,1471450388,2,0
1471448812,44831,1931,1791,1471450389,2,0
1471448812,44831,1931,1791,1471450473,4,0
1471448812,44831,1931,1791,1471450597,2,0
1471448812,44831,1931,1791,1471450598,2,0
1471448813,44831,1931,1791,1471450388,2,0
1471448813,44831,1931,1791,1471450389,2,0
1471448813,44831,1931,1791,1471450473,4,0
1471448813,44831,1931,1791,1471450597,2,0
1471448813,44831,1931,1791,1471450598,2,0
1471448817,44831,1931,1791,1471450388,2,0
1471448817,44831,1931,1791,1471450389,2,0
1471448817,44831,1931,1791,1471450473,4,0
1471448817,44831,1931,1791,1471450597,2,0
1471448817,44831,1931,1791,1471450598,2,0
1471448825,44831,1931,1791,1471450388,2,0
1471448825,44831,1931,1791,1471450389,2,0
1471448825,44831,1931,1791,1471450473,4,0
1471448825,44831,1931,1791,1471450597,2,0
1471448825,44831,1931,1791,1471450598,2,0
1471448826,44831,1931,1791,1471450388,2,0
1471448826,44831,1931,1791,1471450389,2,0
1471448826,44831,1931,1791,1471450473,4,0
1471448826,44831,1931,1791,1471450597,2,0
1471448826,44831,1931,1791,1471450598,2,0
1471448827,44831,1931,1791,1471450388,2,0
1471448827,44831,1931,1791,1471450389,2,0
1471448827,44831,1931,1791,1471450473,4,0
1471448827,44831,1931,1791,1471450597,2,0
1471448827,44831,1931,1791,1471450598,2,0
1471448828,44831,1931,1791,1471450388,2,0
1471448828,44831,1931,1791,1471450389,2,0
1471448828,44831,1931,1791,1471450473,4,0
1471448828,44831,1931,1791,1471450597,2,0
1471448828,44831,1931,1791,1471450598,2,0
1471448831,44831,1931,1791,1471450388,2,0
1471448831,44831,1931,1791,1471450389,2,0
1471448831,44831,1931,1791,1471450473,4,0
1471448831,44831,1931,1791,1471450597,2,0
1471448831,44831,1931,1791,1471450598,2,0
1471448838,44831,1931,1791,1471450388,2,0
1471448838,44831,1931,1791,1471450389,2,0
1471448838,44831,1931,1791,1471450473,4,0
1471448838,44831,1931,1791,1471450597,2,0
1471448838,44831,1931,1791,1471450598,2,0
1471448839,44831,1931,1791,1471450388,2,0
1471448839,44831,1931,1791,1471450389,2,0
1471448839,44831,1931,1791,1471450473,4,0
1471448839,44831,1931,1791,1471450597,2,0
1471448839,44831,1931,1791,1471450598,2,0
1471448840,44831,1931,1791,1471450388,2,0
1471448840,44831,1931,1791,1471450389,2,0
1471448840,44831,1931,1791,1471450473,4,0
1471448840,44831,1931,1791,1471450597,2,0
1471448840,44831,1931,1791,1471450598,2,0
1471448841,44831,1931,1791,1471450388,2,0
1471448841,44831,1931,1791,1471450389,2,0
1471448841,44831,1931,1791,1471450473,4,0
1471448841,44831,1931,1791,1471450597,2,0
1471448841,44831,1931,1791,1471450598,2,0
1471448844,44831,1931,1791,1471450388,2,0
1471448844,44831,1931,1791,1471450389,2,0
1471448844,44831,1931,1791,1471450473,4,0
1471448844,44831,1931,1791,1471450597,2,0
1471448844,44831,1931,1791,1471450598,2,0
1471448853,44831,1931,1791,1471450388,2,0
1471448853,44831,1931,1791,1471450389,2,0
1471448853,44831,1931,1791,1471450473,4,0
1471448853,44831,1931,1791,1471450597,2,0
1471448853,44831,1931,1791,1471450598,2,0
1471448854,44831,1931,1791,1471450388,2,0
1471448854,44831,1931,1791,1471450389,2,0
1471448854,44831,1931,1791,1471450473,4,0
1471448854,44831,1931,1791,1471450597,2,0
1471448854,44831,1931,1791,1471450598,2,0
1471448855,44831,1931,1791,1471450388,2,0
1471448855,44831,1931,1791,1471450389,2,0
1471448855,44831,1931,1791,1471450473,4,0
1471448855,44831,1931,1791,1471450597,2,0
1471448855,44831,1931,1791,1471450598,2,0
1471448856,44831,1931,1791,1471450388,2,0
1471448856,44831,1931,1791,1471450389,2,0
1471448856,44831,1931,1791,1471450473,4,0
1471448856,44831,1931,1791,1471450597,2,0
1471448856,44831,1931,1791,1471450598,2,0
1471448859,44831,1931,1791,1471450388,2,0
1471448859,44831,1931,1791,1471450389,2,0
1471448859,44831,1931,1791,1471450473,4,0
1471448859,44831,1931,1791,1471450597,2,0
1471448859,44831,1931,1791,1471450598,2,0
1471448867,44831,1931,1791,1471450388,2,0
1471448867,44831,1931,1791,1471450389,2,0
1471448867,44831,1931,1791,1471450473,4,0
1471448867,44831,1931,1791,1471450597,2,0
1471448867,44831,1931,1791,1471450598,2,0
1471448868,44831,1931,1791,1471450388,2,0
1471448868,44831,1931,1791,1471450389,2,0
1471448868,44831,1931,1791,1471450473,4,0
1471448868,44831,1931,1791,1471450597,2,0
1471448868,44831,1931,1791,1471450598,2,0
1471448869,44831,1931,1791,1471450388,2,0
1471448869,44831,1931,1791,1471450389,2,0
1471448869,44831,1931,1791,1471450473,4,0
1471448869,44831,1931,1791,1471450597,2,0
1471448869,44831,1931,1791,1471450598,2,0
