timestamp,A,X,Y,timestamp2,esito_positivo
1464971106,1771,1766,1773,1464987693,2
1464971106,1771,1766,1773,1464987694,2
1464971108,1771,1766,1773,1464987693,2
1464971108,1771,1766,1773,1464987694,2
1464971108,1771,1766,1773,1464987693,2
1464971108,1771,1766,1773,1464987694,2
1465596017,2013,1935,2014,1465596685,2
1467147763,1797,1766,1775,1467187917,2
1467147763,1797,1766,1775,1467187918,2
1467735949,1820,1766,1773,1467737151,2
1467735949,1820,1766,1773,1467737152,2
1467735949,1820,1766,1773,1467737440,2
1467735949,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737151,2
1467735951,1820,1766,1773,1467737152,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737151,2
1467735951,1820,1766,1773,1467737152,2
1467735951,1820,1766,1773,1467737440,2
1467735951,1820,1766,1773,1467737440,2
1467817257,1844,1766,1807,1467841070,1
1467817257,1844,1766,1807,1467841070,1
1467825006,1844,1766,1807,1467841070,2
1467825006,1844,1766,1807,1467841070,2
1467889543,1805,1766,1773,1467900140,1
1467889543,1805,1766,1773,1467900140,1
1468143734,1776,1766,1829,1468164593,2
1468143734,1776,1766,1829,1468164596,2
1468143734,1776,1766,1829,1468164699,2
1468143734,1776,1766,1829,1468164702,2
1468143736,1776,1766,1829,1468164593,2
1468143736,1776,1766,1829,1468164596,2
1468143736,1776,1766,1829,1468164699,2
1468143736,1776,1766,1829,1468164702,2
1468145884,1828,1766,1829,1468164593,2
1468145884,1828,1766,1829,1468164596,2
1468145884,1828,1766,1829,1468164699,2
1468145884,1828,1766,1829,1468164702,2
1468145886,1828,1766,1829,1468164593,2
1468145886,1828,1766,1829,1468164596,2
1468145886,1828,1766,1829,1468164699,2
1468145886,1828,1766,1829,1468164702,2
1468146048,1828,1766,1829,1468164593,2
1468146048,1828,1766,1829,1468164596,2
1468146048,1828,1766,1829,1468164699,2
1468146048,1828,1766,1829,1468164702,2
1468146051,1828,1766,1829,1468164593,2
1468146051,1828,1766,1829,1468164596,2
1468146051,1828,1766,1829,1468164699,2
1468146051,1828,1766,1829,1468164702,2
1468741460,1776,1766,1807,1468770479,2
1468741460,1776,1766,1807,1468770480,2
1468741460,1776,1766,1788,1468770532,2
1468741460,1776,1766,1788,1468770533,2
1468741460,1776,1766,1773,1468780314,2
1468741463,1776,1766,1807,1468770479,2
1468741463,1776,1766,1807,1468770480,2
1468741463,1776,1766,1788,1468770532,2
1468741463,1776,1766,1788,1468770533,2
1468741463,1776,1766,1773,1468780314,2
1468741514,1776,1766,1807,1468770479,2
1468741514,1776,1766,1807,1468770480,2
1468741514,1776,1766,1788,1468770532,2
1468741514,1776,1766,1788,1468770533,2
1468741514,1776,1766,1773,1468780314,2
1468741515,1776,1766,1807,1468770479,2
1468741515,1776,1766,1807,1468770480,2
1468741515,1776,1766,1788,1468770532,2
1468741515,1776,1766,1788,1468770533,2
1468741515,1776,1766,1773,1468780314,2
1468745818,1776,1766,1807,1468770479,2
1468745818,1776,1766,1807,1468770480,2
1468745818,1776,1766,1788,1468770532,2
1468745818,1776,1766,1788,1468770533,2
1468745818,1776,1766,1773,1468780314,2
1468745820,1776,1766,1807,1468770479,2
1468745820,1776,1766,1807,1468770480,2
1468745820,1776,1766,1788,1468770532,2
1468745820,1776,1766,1788,1468770533,2
1468745820,1776,1766,1773,1468780314,2
1468750468,1776,1766,1807,1468770479,2
1468750468,1776,1766,1807,1468770480,2
1468750468,1776,1766,1788,1468770532,2
1468750468,1776,1766,1788,1468770533,2
1468750468,1776,1766,1773,1468780314,2
1468750469,1776,1766,1807,1468770479,2
1468750469,1776,1766,1807,1468770480,2
1468750469,1776,1766,1788,1468770532,2
1468750469,1776,1766,1788,1468770533,2
1468750469,1776,1766,1773,1468780314,2
1468756225,1776,1766,1807,1468770479,2
1468756225,1776,1766,1807,1468770480,2
1468756225,1776,1766,1788,1468770532,2
1468756225,1776,1766,1788,1468770533,2
1468756225,1776,1766,1773,1468780314,2
1468756225,1776,1766,1807,1468770479,2
1468756225,1776,1766,1807,1468770480,2
1468756225,1776,1766,1788,1468770532,2
1468756225,1776,1766,1788,1468770533,2
1468756225,1776,1766,1773,1468780314,2
1469191083,2011,1935,2038,1469191542,2
1469191083,2011,1935,2040,1469199976,2
1469191083,2011,1935,2040,1469205794,2
1469191083,2011,1935,2040,1469208662,2
1469191083,2011,1935,2040,1469214555,2
1469191083,2011,1935,2038,1469224209,2
1469191084,2011,1935,2038,1469191542,2
1469191084,2011,1935,2040,1469199976,2
1469191084,2011,1935,2040,1469205794,2
1469191084,2011,1935,2040,1469208662,2
1469191084,2011,1935,2040,1469214555,2
